objectid,title,filename,format,Scientific Name,Common Name,Kingdom,Family,Keystone Species Justification,Conservation Status,Conservation Action Taken,Implementing Organization,Implementation Date Range,Primary Threats to Species,youtubeid,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
success011,Handheld Longleaf Pinecone,handheld_longleaf_pinecone.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Photograph of a longleaf pinecone held in a hand with a longleaf pine tree stand and blue sky in the background,Vashti Torres,,2025-01-20,,single-page; photograph,Longleaf pine needles; longleaf pine; longleaf pine tree,"Spartanburg, South Carolina",34.9806136046,-81.9521125432,,,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2025,Image; StillImage,eng,
success012,Longleaf Pine Trees,longleaf_pines.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Photograph on longleaf pine trees against a blue sky backdrop,Vashti Torres,,2025-01-20,,single-page; photograph,Longleaf pine needles; longleaf pine; longleaf pine tree,"Spartanburg, South Carolina",34.9806136046,-81.9521125432,,,Vashti Torres,,,,Personal use; educational use,© Vashti Torres 2025,Image; StillImage,eng,
success013,Longleaf Pine Ecosystem,cpn_longleaf_pine_ecosystem2.pdf,application/pdf,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Brochure detailing the importance of the longleaf pine tree forest on the flora and fauna in its ecosystem. Brochure explains the importance of fire on the survival of the longleaf pine tree. ,Garden of the Coastal Plain at Georgia Southern University,,2023,yes,multiple-page; brochure,Longleaf Pine Tree; Ecosystem; Conservation,"Spartanburg, South Carolina",34.9806136046,-81.9521125432,,,Garden of the Coastal Plain at Georgia Southern University,https://ww2.georgiasouthern.edu/academics/garden/files/CPN-LongleafPineEcosystem2.pdf,,,Educational Use,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=1011&context=dc-promo,Text; Document; pdf,eng,
success014,Nicks Creek Topo Map in Moore County NC,Nicks Creek Topo Map in Moore County NC.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",The Southern Conservation Trust; The Nature Conservancy; U.S. Department of Defense; The Alabama-Coushatta Tribe of Texas,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,"Nicks Creek is listed in the Streams Category for Moore County in the state of North Carolina. Nicks Creek is displayed on the Carthage USGS topo map. The latitude and longitude coordinates (GPS waypoint) of Nicks Creek are 35.2651563 (North), -79.3983616 (West) and the approximate elevation is 295 feet (90 meters) above sea level.",TopoZone,,2026,yes,single-page; photograph,Longleaf Pine Tree Conservation Area,"Carthage, North Carolina",35.2651563,-79.3983616,,TopoZone,TopoZone,https://www.topozone.com/north-carolina/moore-nc/stream/nicks-creek/,,,Educational Use,https://www.topozone.com/terms/,Image; StillImage,eng,
success015,America's Longleaf Pine Forests Then & Now,F_FAL22_LLP_map.jpg,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",America’s Longleaf Restoration Initiative is a coalition of state and federal agencies as well as industry and researchers. There are also private landowners and conservation groups like TNC.,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,A map depicting the historic range and existing stands of the Longleaf Pine Tree across the American Southeast. It includes information regarding The Nature Conservancy's efforts in restoring the longleaf pine tree.,Jennifer Winger,,2022-09-15,yes,single-page; photograph,Longleaf Pine Tree Conservation Area,South Carolina; Texas; Louisiana,,,Nature,The Nature Conservancy,The Nature Conservancy,"https://www.nature.org/en-us/magazine/magazine-articles/longleaf-pine/#:~:text=Some%20researchers%20estimate%20its%20species,them%E2%80%94before%20it's%20too%20late.",,,Educational Use,https://www.nature.org/en-us/about-us/who-we-are/accountability/terms-of-use/,Image; StillImage,eng,
success016,America's Longleaf 2024 Range-Wide Accomplishments,2024-accomplishment-report-longleaf-pine.pdf,application/pdf,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",America’s Longleaf Restoration Initiative is a coalition of state and federal agencies as well as industry and researchers. There are also private landowners and conservation groups like TNC.,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,Report provided by America's Longleaf organization with its 2024 range-wide accomplishments marking 15 years of collaborative conservation efforts for its Restoration Initiative and the Longleaf Partnership Council.,America's Longleaf,,2024-09-30,yes,multiple-page; report,Longleaf Pine Tree Conservation Area,South Carolina; Texas; Louisiana,,,,,American's Longleaf,https://www.americaslongleaf.org/news-events/news/2025/june/america-s-longleaf-celebrates-major-milestones-in-longleaf-pine-habitat-restoration-with-2024-accomplishment-report/,,,Educational Use,,Text; Document; pdf,eng,
success017,NatureServe Explorer - Pinus palustris Longleaf Pine,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152746/Pinus_palustris,image/jpg,Pinus palustris,Longleaf Pine Tree,Plantae,Pinacae,"The loss of the historic range of longleaf pine has led to the decline of North America’s most diverse plant communities. Over 900 plant species have been documented as only occurring in the longleaf ecosystem. In some cases up to 170 species are found on a quarter-acre plot. Longleaf stands provide habitat for over 100 bird species, 170 reptiles and amphibians, and over 30 mammals. 30 of these species are classified as rare, threatened, or endangered (RTE) by the US Fish and Wildlife Service.",Global Status is G5 (Secured),"TNC and its partners are working across nine states. Returning regular controlled burns to the ecosystem and letting natural wildfires burn through when developed areas are not at risk is helping existing forests thrive. Land acquisitions and conservation easements are knitting together large swaths of connected habitat to bolster populations of threatened and endangered species. And empowering private landowners who hold 86% of potential longleaf pine habitat to reintroduce longleaf pine trees onto their property is not only creating new forests but also generating sources of income.The long-term persistence of intact and natural stands of Longleaf Pine will depend on continued ecosystem management including prescribed fire. This will need to be implemented within the constraints of increased wildland urban interface issues, higher costs, liability concerns and human health related smoke management restrictions.",America’s Longleaf Restoration Initiative is a coalition of state and federal agencies as well as industry and researchers. There are also private landowners and conservation groups like TNC.,1970-2020,Logging and deforestation are some of the primary threats to this species. Invasive Species like feral hogs and agricultural production increase with a decrease in an established fire regime also cause threats. ,,"Scaleable map powered by Esri depicting State/Provincial Conservation Status of the Pinus palustris - Longleaf Pine, with color coded polygons indicating levels from Presumed. Extinct to Secure and including a No Status Rank option",NatureServe,,2020-04-09,,single-page; photograph,Longleaf Pine Tree Conservation Area,South Carolina; Texas; Louisiana,,,,NatureServe Explorer,NatureServe Explorer,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152746/Pinus_palustris,,,Educational Use,https://explorer.natureserve.org/AboutTheData/UseGuidelinesCitations,html; map; ArcGIS,eng,
success018,Red Cockaded Woodpecker,,video/mp4,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,2024-11-25,Habitat Fragmentation; Land Use Change; Deforestation,oXF1Sy2eZGg,Today we are visiting a mature longleaf pine forest in search of Red-cockaded woodpeckers. They are small ladder-backed woodpeckers with a white cheek patch slightly larger than a downy woodpecker.  They are unlike other woodpeckers who nest in dead trees because red-cockaded woodpeckers create nest cavities in living trees. They even angle their nest upward to keep out rain. Each tree bleeds sap around the excavated hole and the sticky resin deters predators like rat snakes that climb up the trees. The woodpeckers forage for insects and eggs by picking through pine bark and sometimes forage with songbirds like bluebirds and brown headed nuthatches. They live in family groups and multiple generations help excavate cavities and help raise young. Their old nest cavities are used by many other species like great crested flycatchers and tufted titmice. We are thrilled to get a glimpse of this keystone species in this dwindling habitat of longleaf pine savannah!,Nature Walks With Judy,,2023-01-19,,YouTube video,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,South Carolina; Texas; Louisiana,,,,,,,,,Educational Use,,Image; StillImage,eng,
success019,Red-Cockaded Woodpecker Conservation at Fort Polk Louisiana,,video/mp4,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2019,Habitat Fragmentation; Land Use Change; Deforestation,hcKjiUvLAcc,The Red-Cockaded Woodpecker (RCW) is an endangered species under the U.S. Federal Government's Endangered Species Act of 1973 and makes its home amongst the longleaf pine forests of the American southeast. Biologists from Colorado State University's Center for Environmental Management of Military Lands (CEMML) are helping Fort Polk (a US Army training installation in west-central Louisiana) ensure the bird's survival. Through banding efforts that track the bird's population as well as the installation of artificial nesting cavities RCW populations have grown since the 1970's and 80's to the point that the U.S. Fish & Wildlife Service is considering downlisting the species to threatened.,CSU CEMML,,2023-01-18,,YouTube video,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,South Carolina; Texas; Louisiana,,,,,,,,,Educational Use,,Image; StillImage,eng,
success020,Endangered and Threatened Wildlife and Plants Reclassification of the Red-Cockaded Woodpecker From Endangered to Threatened With a Section 4(d) Rule ,RCW_downlist_NOV2024.pdf,application/pdf,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2020,Habitat Fragmentation; Land Use Change; Deforestation,,This is the Federal Register notification for the reclassification of red-cockaded woodpecker from endangered to threatened,Department of the Interior,,2024-10-25,,single-page; notices,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,South Carolina; Texas; Louisiana,,,Federal Register,U.S. Fish and Wildlife Service,Department of the Interior,https://www.dnr.sc.gov/wildlife/rcw.html,,,Official Use; Educational Use,"https://guides.libraries.indiana.edu/c.php?g=158548&p=1175945#:~:text=The%20United%20States%20Government%20is%20one%20of,works%2C%20including%20the%20designs%20of%20postage%20stamps",text,eng,
success021,Species Using Red-Cockaded Woodpecker Cavities in Texas,species_using_RCW_tree_cavities_1997.pdf,application/pdf,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2021,Habitat Fragmentation; Land Use Change; Deforestation,,Article in the Bulletin of Texas Ornithological Society detailing some of the species that use the cavities created by the Red-Cockaded Woodpecker in Texas longleaf pine tree ecosystems.,Richard N. Conner; D. Craig Rudolph; Daniel Saenz; Richard R. Schaefer,,1997,yes,multiple-page. article,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,"Angelina National Forest, Texas",31.495707337743834,-94.7722719150825,Bulletin of the Texas Ornithological Society,Richard N. Conner. D. Craig Rudolph. Daniel Saenz. Richard R. Schaefer,,,,,Educational Use,https://www.usda.gov/about-usda/policies-and-links,text,eng,
success022,Species Using Red-Cockaded Woodpecker Cavities in Texas,species_using_RCW_tree_cavities_1997.pdf,application/pdf,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2022,Habitat Fragmentation; Land Use Change; Deforestation,,Article in the Bulletin of Texas Ornithological Society detailing some of the species that use the cavities created by the Red-Cockaded Woodpecker in Texas longleaf pine tree ecosystems.,Richard N. Conner; D. Craig Rudolph; Daniel Saenz; Richard R. Schaefer,,1997,yes,multiple-page. article,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,"Kennard, Texas",31.29721432980903,-95.10140714713847,Bulletin of the Texas Ornithological Society,,,,,,Educational Use,https://www.usda.gov/about-usda/policies-and-links,text,eng,
success023,NC RCW Safe Harbor program boundary,usfws-nc-rcw-safe-harbor-program-boundary.jpg,image/jpg,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2023,Habitat Fragmentation; Land Use Change; Deforestation,,Map of the red-cockaded woodpecker Safe Harbor program boundaries in North Carolina.,U.S. Fish & Wildlife Service,,2025-02-03,,single-page. photo,Red-cockaded woodpecker; Endangered Species; Threatened Species; longleaf pine ecosystem; conservation,"McBee, South Carolina",34.50303032988193,-80.2240613024615,,Eastern North Carolina Ecological Services,U.S. Fish & Wildlife Service,https://www.fws.gov/media/nc-rcw-safe-harbor-program-boundary,,,Public Domain,Public Domain; https://www.fws.gov/media/nc-rcw-safe-harbor-program-boundary,Image; StillImage,eng,
success024,Red-cockaded woodpecker on pine tree,RCW_Renee Bodine.jpg,image/jpg,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2024,Habitat Fragmentation; Land Use Change; Deforestation,,A red-cockaded woodpecker clings to the side of a pine tree.,Renee Bodine USFWS,,2023-04-04,,single-page. photo,Red-Cockaded Woodpecker; bird banding; birds; birdwatching; Endangered and Threatened Species,"McBee, South Carolina",34.50303032988193,-80.2240613024615,RCW Safe Harbor Program ,Eastern North Carolina Ecological Services,U.S. Fish & Wildlife Service,https://www.fws.gov/media/red-cockaded-woodpecker-pine-tree,,,Public Domain,https://www.fws.gov/media/red-cockaded-woodpecker-pine-tree,Image; StillImage,eng,
success025,HEART OF LOUISIANA: Red Cockaded Woodpecker,,video/mp4,Picoides borealis,Red-Cockaded Woodpecker,Animalia,Picidae,The red-cockaded Woodpecker is a keystone species in the fire-disclimax longleaf pine tree ecosystems of the southeastern United States due to its ability to excavate cavities in living pines. Their cavities are used secondarily by at least 27 species of vertebrates including small birds and mammals and herpetofauna and invertebrates.,Near Threatened (IUCN) and as Threatened by the United States Fish and Wildlife Service.,Longleaf Pine Tree Reforestation. Conservation. Prescribed fire. Planting longleaf. Thinning dense stands. Lengthening pine timber rotations. Hardwood midstory control. RCW cavity installation and maintenance. RCW population management. Future conservation measures,US Fish and Wildlife Service; The N.C. Wildlife Resources Commission (NCWRC); Longleaf Alliance; America's Longleaf; National Fish and Wildlife Foundation ,1970-2025,Habitat Fragmentation; Land Use Change; Deforestation,BzSqizlF3mE,We turn off the highway and drive a couple of miles on a gravel road through the tall longleaf pines of Louisiana’s Kisatchie National Forest.,WAFB,,2025-07-21,,YouTube video,Red-Cockaded Woodpecker; bird banding; birds; birdwatching; Endangered and Threatened Species,"Glenmora, Louisiana",31.027071263166548,-92.62501601690659,,,,,,,Educational Use,,,eng,
